717121,717121
717121,295110
295110,522216
522216,547028
547028,637718
637718,522216
522216,637718
522216,522216
522216,190424
190424,190424
190424,696113
696113,696113
696113,2
2,696113
696113,318689
318689,696113
696113,420820
420820,696113
696113,755081
755081,755081
755081,326467
326467,326467
326467,623883
623883,623883
623883,326467
326467,752230
752230,752230
752230,283972
283972,283972
283972,752230
752230,127313
127313,504152
504152,504152
504152,127313
127313,630853
630853,127313
630853,630853
630853,586199
586199,630853
630853,2
2,2
2,580683
580683,79172
79172,580683
580683,604132
604132,389350
389350,580683
580683,389350
389350,389350
389350,98338
98338,525193
525193,525193
525193,50301
50301,337654
337654,644804
644804,425229
425229,635990
635990,425229
425229,425229
425229,476875
476875,476875
476875,684016
684016,425229
425229,117499
117499,425229
425229,601061
601061,425229
425229,337654
337654,337654
337654,395906
395906,395906
395906,394123
394123,117499
117499,395906
395906,425229
425229,511228
511228,117499
117499,380047
380047,380047
380047,425229
425229,529932
529932,380047
380047,315901
315901,425229
425229,302923
302923,302923
302923,686601
686601,686601
686601,477777
477777,477777
477777,468994
468994,468994
468994,601654
601654,601654
601654,24916
24916,24916
24916,498348
498348,24916
24916,88282
88282,24916
24916,170660
170660,65152
65152,170660
65152,65152
170660,115835
115835,711413
711413,711413
711413,340741
340741,340741
340741,318019
318019,701963
701963,701963
701963,318019
318019,318019
318019,406402
406402,406402
406402,634524
634524,634524
634524,720662
720662,720662
720662,413442
413442,413442
413442,672665
672665,90636
90636,90636
90636,672665
672665,672665
672665,529424
529424,529424
529424,714962
714962,714962
714962,715250
715250,714962
715250,403190
403190,338512
338512,452633
452633,597766
597766,139396
139396,338512
338512,326403
326403,338512
338512,150037
150037,338512
338512,338512
338512,716635
716635,716635
716635,549991
549991,348010
348010,549991
549991,716435
716435,624228
624228,716635
716635,12734
12734,549991
549991,134576
134576,134576
134576,2
2,148497
148497,148497
148497,603981
603981,603981
603981,2
2,717033
717033,717033
717033,392029
392029,717033
717033,717121
717121,642705
642705,642705
642705,256414
256414,256414
256414,344004
344004,344004
344004,717121
717121,503457
503457,91217
91217,116693
116693,41510
41510,503457
503457,503457
503457,116693
116693,116693
116693,172031
172031,151418
151418,116693
116693,499865
499865,116693
116693,503457
503457,704498
704498,704487
704487,704409
704409,703641
703641,691908
691908,704280
704280,704050
704050,459204
459204,459204
459204,134433
134433,318379
318379,318379
318379,124396
124396,124396
124396,373592
373592,124396
373592,373592
373592,279418
279418,279418
279418,572550
572550,124396
124396,586228
586228,586228
586228,373592
279418,124396
124396,636248
636248,633550
633550,636248
633550,633550
636248,636248
633550,718313
718313,718313
718313,680161
680161,141500
141500,643813
643813,643813
643813,718313
718313,438809
438809,13491
13491,643813
643813,539724
539724,80611
80611,102313
102313,566175
566175,539724
539724,539724
539724,676162
676162,539724
676162,80611
80611,676162
80611,539724
80611,328027
328027,8892
8892,8892
8892,284722
284722,168506
168506,328027
328027,172031
172031,311745
311745,718313
718313,279831
279831,717121
717121,401122
401122,284722
284722,718313
718313,401122
401122,320994
320994,284722
284722,532893
532893,554185
554185,241875
241875,177582
177582,552284
552284,661828
661828,241875
241875,241875
241875,103894
103894,103894
103894,714104
714104,241875
241875,424450
424450,395698
395698,395698
395698,424450
424450,14272
14272,395698
395698,466851
466851,642861
642861,395698
395698,200873
200873,567526
567526,686881
686881,686881
686881,204766
204766,296351
296351,398155
398155,523614
523614,24570
24570,686881
686881,296351
296351,2
2,204766
204766,200873
200873,24570
686881,323539
323539,201236
201236,261099
261099,68050
68050,632590
632590,632590
632590,715162
715162,715162
715162,17890
17890,17890
17890,68050
632590,68050
68050,68050
68050,170986
170986,170986
170986,632590
632590,12792
12792,764508
764508,12792
12792,12792
764508,267868
267868,764508
12792,711692
711692,711692
711692,610438
610438,610438
610438,711692
711692,404765
404765,404765
404765,711692
711692,523180
523180,523180
523180,711692
